gbifID,institutionCode,catalogNumber,kingdom,phylum,class,order,family,genus,species,lon,lat,year,country,region
2679437224,CLO,OBS767612018,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.615036,17.873577,2019,Belize,Orange Walk
2681056496,CLO,OBS767612344,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.65209,17.764627,2019,Belize,Orange Walk
2682594112,CLO,OBS767386824,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2684772817,CLO,OBS752444711,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.35388,17.641127,2019,Belize,Belize
2684838377,CLO,OBS754276058,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-90.19287,17.535015,2019,Guatemala,Petén
2685391523,CLO,OBS752815447,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.13618,18.343977,2019,Belize,Corozal
2685624756,CLO,OBS750809495,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.627304,17.209948,2019,Guatemala,Petén
2686475119,CLO,OBS760049672,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.63518,17.764206,2019,Belize,Orange Walk
2688135114,CLO,OBS767548414,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.64868,17.702276,2019,Belize,Orange Walk
2692541936,CLO,OBS792501321,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.54773,17.350416,2019,Belize,Belize
2693799651,CLO,OBS792500394,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-88.49042,17.41652,2019,Belize,Belize
2694271423,CLO,OBS766064596,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.10844,17.329018,2019,Belize,Cayo
2697199732,CLO,OBS765664653,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,Amazona xantholora,-89.10844,17.329018,2019,Belize,Cayo
